,trial,set,rel,t1,t2,p1,p2,list,prime,target,target.len,target.freq,response,time,participant,list,item
,,,,,,,,,,,,,,,,,
10293,214,m,u,u,t016,u,p016,l2,accident,ambition,8,2287,nonword,561,31,3,ut016
,,,,,,,,,,,,,,,,,
10294,215,m,r,m,p052,m,t052,l2,shopper,dollar,6,3639,word,399,31,3,mp052
,,,,,,,,,,,,,,,,,
10295,216,m,u,m,p000,m,t043,l2,investigator,letter,6,21025,word,516,31,3,mp000
,,,,,,,,,,,,,,,,,
10296,217,m,u,u,t090,u,p090,l2,defection,pleasure,8,5570,word,447,31,3,ut090
,,,,,,,,,,,,,,,,,
10297,218,m,r,m,p049,m,t049,l2,politician,truth,5,8391,word,492,31,3,mp049
,,,,,,,,,,,,,,,,,
10298,219,m,r,m,p061,m,t061,l2,dieter,weight,6,9181,word,433,31,3,mp061
,,,,,,,,,,,,,,,,,
10299,220,m,r,m,p077,m,t077,l2,soldier,enemy,5,4597,word,514,31,3,mp077
,,,,,,,,,,,,,,,,,
10300,221,m,n,n,t043,n,p043,l2,freezer,froabin,7,,nonword,626,31,3,nt043
,,,,,,,,,,,,,,,,,
10301,222,m,u,u,t064,u,p064,l2,shot,picnic,6,714,word,659,31,3,ut064
,,,,,,,,,,,,,,,,,
10302,223,m,u,u,t028,u,p028,l2,admission,instinct,8,1715,word,524,31,3,ut028
,,,,,,,,,,,,,,,,,
10303,224,m,n,n,t098,n,p098,l2,lemon,tofic,5,,nonword,572,31,3,nt098
,,,,,,,,,,,,,,,,,
10304,225,m,n,n,t150,n,p150,l2,cathedral,smeater,7,,nonword,662,31,3,nt150
,,,,,,,,,,,,,,,,,
10305,226,m,n,n,t161,n,p161,l2,atlas,anory,5,,nonword,663,31,3,nt161
,,,,,,,,,,,,,,,,,
10306,227,m,u,m,p011,m,t010,l2,contortionist,rope,4,2073,word,461,31,3,mp011
,,,,,,,,,,,,,,,,,
10307,228,m,n,n,t056,n,p056,l2,marble,voresee,7,,nonword,812,31,3,nt056
,,,,,,,,,,,,,,,,,
10308,229,m,u,u,t035,u,p035,l2,chapter,mineral,7,2259,word,579,31,3,ut035
,,,,,,,,,,,,,,,,,
10309,230,m,n,n,t109,n,p109,l2,biscuit,pedu,4,,nonword,561,31,3,nt109
,,,,,,,,,,,,,,,,,
10310,231,m,n,n,t154,n,p154,l2,manure,typocrisy,9,,nonword,746,31,3,nt154
,,,,,,,,,,,,,,,,,
10311,232,m,u,u,t027,u,p027,l2,drum,description,11,6527,word,558,31,3,ut027
,,,,,,,,,,,,,,,,,
10312,233,m,n,n,t078,n,p078,l2,rocker,bipe,4,,nonword,508,31,3,nt078
,,,,,,,,,,,,,,,,,
10313,234,m,n,n,t175,n,p175,l2,canal,stirth,6,,nonword,795,31,3,nt175
,,,,,,,,,,,,,,,,,
10314,235,m,u,u,t093,u,p093,l2,farm,label,5,2849,nonword,630,31,3,ut093
,,,,,,,,,,,,,,,,,
10315,236,m,r,m,p087,m,t087,l2,blacksmith,rod,3,1860,word,468,31,3,mp087
,,,,,,,,,,,,,,,,,
10316,237,m,n,n,t097,n,p097,l2,wheel,chennal,7,,nonword,564,31,3,nt097
,,,,,,,,,,,,,,,,,
10317,238,m,r,m,p076,m,t076,l2,criminal,money,5,36705,word,930,31,3,mp076
,,,,,,,,,,,,,,,,,
10318,239,m,n,n,t054,n,p054,l2,establishment,brophy,6,,nonword,565,31,3,nt054
,,,,,,,,,,,,,,,,,
10319,240,m,u,m,p031,m,t030,l2,player,cartel,6,423,nonword,512,31,3,mp031
,,,,,,,,,,,,,,,,,
10320,241,m,n,n,t162,n,p162,l2,tradition,polate,6,,nonword,897,31,3,nt162
,,,,,,,,,,,,,,,,,
10321,242,m,n,n,t179,n,p179,l2,cactus,troom,5,,nonword,671,31,3,nt179
,,,,,,,,,,,,,,,,,
10322,243,m,n,n,t041,n,p041,l2,necklace,disjace,7,,nonword,519,31,3,nt041
,,,,,,,,,,,,,,,,,
10323,244,m,u,u,t033,u,p033,l2,flood,madness,7,779,word,390,31,3,ut033
,,,,,,,,,,,,,,,,,
10324,245,m,n,n,t063,n,p063,l2,olive,lourse,6,,nonword,488,31,3,nt063
,,,,,,,,,,,,,,,,,
10325,246,m,u,u,t079,u,p079,l2,badge,client,6,10824,word,487,31,3,ut079
,,,,,,,,,,,,,,,,,
10326,247,m,n,n,t072,n,p072,l2,tail,cleash,6,,word,758,31,3,nt072
,,,,,,,,,,,,,,,,,
10327,248,m,n,n,t034,n,p034,l2,tiger,speight,7,,nonword,870,31,3,nt034
,,,,,,,,,,,,,,,,,
10328,249,m,u,u,t031,u,p031,l2,elevator,turmoil,7,530,nonword,610,31,3,ut031
,,,,,,,,,,,,,,,,,
10329,250,m,n,n,t121,n,p121,l2,motorist,ondurance,9,,nonword,712,31,3,nt121
,,,,,,,,,,,,,,,,,
10330,251,m,n,n,t038,n,p038,l2,rhinoceros,founte,6,,nonword,624,31,3,nt038
,,,,,,,,,,,,,,,,,
10331,252,m,u,m,p025,m,t024,l2,student,question,8,38185,word,468,31,3,mp025
,,,,,,,,,,,,,,,,,
10332,253,m,r,m,p048,m,t048,l2,speaker,group,5,60248,word,396,31,3,mp048
,,,,,,,,,,,,,,,,,
10333,254,m,u,m,p017,m,t016,l2,mother,haiku,5,26,nonword,489,31,3,mp017
,,,,,,,,,,,,,,,,,
10334,255,m,u,u,t054,u,p054,l2,tongue,candle,6,1526,word,441,31,3,ut054
,,,,,,,,,,,,,,,,,
10335,256,m,u,u,t095,u,p095,l2,salon,cage,4,1296,word,682,31,3,ut095
,,,,,,,,,,,,,,,,,
10336,257,m,u,u,t072,u,p072,l2,settlement,joy,3,3121,word,433,31,3,ut072
,,,,,,,,,,,,,,,,,
10337,258,m,n,n,t095,n,p095,l2,bulb,boarger,7,,nonword,1056,31,3,nt095
,,,,,,,,,,,,,,,,,
10338,259,m,u,u,t087,u,p087,l2,scarf,passion,7,2463,word,540,31,3,ut087
,,,,,,,,,,,,,,,,,
10339,260,m,n,n,t180,n,p180,l2,painting,thattress,9,,nonword,641,31,3,nt180
,,,,,,,,,,,,,,,,,
10340,261,m,r,m,p063,m,t063,l2,boss,accountant,10,2172,word,462,31,3,mp063
,,,,,,,,,,,,,,,,,
10341,262,m,n,n,t114,n,p114,l2,wealth,gredins,7,,nonword,575,31,3,nt114
,,,,,,,,,,,,,,,,,
10342,263,m,n,n,t036,n,p036,l2,goat,creighth,8,,nonword,711,31,3,nt036
,,,,,,,,,,,,,,,,,
10343,264,m,n,n,t120,n,p120,l2,banana,smill,5,,nonword,743,31,3,nt120
,,,,,,,,,,,,,,,,,
10344,265,m,u,u,t053,u,p053,l2,birth,literature,10,5161,word,648,31,3,ut053
,,,,,,,,,,,,,,,,,
10345,266,m,u,m,p014,m,t013,l2,writer,building,8,22583,word,420,31,3,mp014
,,,,,,,,,,,,,,,,,
10346,267,m,u,u,t022,u,p022,l2,tree,mood,4,3536,word,510,31,3,ut022
,,,,,,,,,,,,,,,,,
10347,268,m,n,n,t028,n,p028,l2,plug,nuck,4,,nonword,761,31,3,nt028
,,,,,,,,,,,,,,,,,
10348,269,m,n,n,t182,n,p182,l2,magnet,solox,5,,nonword,699,31,3,nt182
,,,,,,,,,,,,,,,,,
10349,270,m,n,n,t147,n,p147,l2,pin,vub,3,,nonword,567,31,3,nt147
,,,,,,,,,,,,,,,,,
10350,271,m,n,n,t084,n,p084,l2,course,koneri,6,,nonword,590,31,3,nt084
,,,,,,,,,,,,,,,,,
10351,272,m,r,m,p050,m,t050,l2,assassin,pistol,6,895,word,711,31,3,mp050
,,,,,,,,,,,,,,,,,
10352,273,m,r,m,p079,m,t079,l2,glutton,meal,4,6532,word,832,31,3,mp079
,,,,,,,,,,,,,,,,,
10353,274,m,n,n,t149,n,p149,l2,eel,valf,4,,nonword,591,31,3,nt149
,,,,,,,,,,,,,,,,,
10354,275,m,u,u,t020,u,p020,l2,market,camp,4,4446,nonword,632,31,3,ut020
,,,,,,,,,,,,,,,,,
10355,276,m,u,u,t032,u,p032,l2,departure,cat,3,5395,nonword,584,31,3,ut032
,,,,,,,,,,,,,,,,,
10356,277,m,n,n,t124,n,p124,l2,zeal,noredom,7,,nonword,751,31,3,nt124
,,,,,,,,,,,,,,,,,
10357,278,m,n,n,t137,n,p137,l2,catfish,sempt,5,,word,810,31,3,nt137
,,,,,,,,,,,,,,,,,
10358,279,m,u,u,t070,u,p070,l2,tennis,history,7,19782,word,449,31,3,ut070
,,,,,,,,,,,,,,,,,
10359,280,m,n,n,t172,n,p172,l2,lion,prutten,7,,nonword,601,31,3,nt172
,,,,,,,,,,,,,,,,,
10360,281,m,n,n,t153,n,p153,l2,diamond,janel,5,,nonword,675,31,3,nt153
,,,,,,,,,,,,,,,,,
10361,282,m,n,n,t112,n,p112,l2,hook,clert,5,,nonword,926,31,3,nt112
,,,,,,,,,,,,,,,,,
10362,283,m,n,n,t074,n,p074,l2,eraser,faney,5,,nonword,545,31,3,nt074
,,,,,,,,,,,,,,,,,
10363,284,m,n,n,t144,n,p144,l2,dog,kastan,6,,nonword,550,31,3,nt144
,,,,,,,,,,,,,,,,,
10364,285,m,u,u,t036,u,p036,l2,nightclub,blackboard,10,267,word,676,31,3,ut036
,,,,,,,,,,,,,,,,,
10365,286,m,n,n,t130,n,p130,l2,corn,philitary,9,,nonword,562,31,3,nt130
,,,,,,,,,,,,,,,,,
10366,287,m,n,n,t186,n,p186,l2,wreath,veggi,5,,word,788,31,3,nt186
,,,,,,,,,,,,,,,,,
10367,288,m,u,u,t101,u,p101,l2,wallet,disappointment,14,1644,word,669,31,3,ut101
,,,,,,,,,,,,,,,,,
10368,289,m,n,n,t053,n,p053,l2,tomb,vedigree,8,,nonword,804,31,3,nt053
,,,,,,,,,,,,,,,,,
10369,290,m,u,u,t063,u,p063,l2,stable,election,8,15615,word,814,31,3,ut063
,,,,,,,,,,,,,,,,,
10370,291,m,u,m,p042,m,t041,l2,housekeeper,form,4,36148,word,671,31,3,mp042
,,,,,,,,,,,,,,,,,
10371,292,m,u,m,p016,m,t015,l2,poet,television,10,9921,word,491,31,3,mp016
,,,,,,,,,,,,,,,,,
10372,293,m,n,n,t048,n,p048,l2,inn,graw,4,,nonword,752,31,3,nt048
,,,,,,,,,,,,,,,,,
10373,294,m,n,n,t152,n,p152,l2,fawn,clectane,8,,nonword,820,31,3,nt152
,,,,,,,,,,,,,,,,,
10374,295,m,u,u,t025,u,p025,l2,shrub,core,4,3570,word,758,31,3,ut025
,,,,,,,,,,,,,,,,,
10375,296,m,n,n,t046,n,p046,l2,skate,dird,4,,nonword,711,31,3,nt046
,,,,,,,,,,,,,,,,,
10376,297,m,r,m,p060,m,t060,l2,skier,leg,3,11176,word,534,31,3,mp060
,,,,,,,,,,,,,,,,,
10377,298,m,u,u,t024,u,p024,l2,jet,grandpa,7,145,word,497,31,3,ut024
,,,,,,,,,,,,,,,,,
10378,299,m,n,n,t176,n,p176,l2,seal,spathy,6,,word,613,31,3,nt176
,,,,,,,,,,,,,,,,,
10379,300,m,u,u,t019,u,p019,l2,service,fear,4,9382,word,1448,31,3,ut019
,,,,,,,,,,,,,,,,,
10380,301,m,n,n,t103,n,p103,l2,loan,exdences,8,,nonword,818,31,3,nt103
,,,,,,,,,,,,,,,,,
10381,302,m,u,u,t021,u,p021,l2,glove,connection,10,7077,word,502,31,3,ut021
,,,,,,,,,,,,,,,,,
10382,303,m,n,n,t151,n,p151,l2,card,legenk,6,,nonword,682,31,3,nt151
,,,,,,,,,,,,,,,,,
10383,304,m,n,n,t184,n,p184,l2,dishcloth,microscone,10,,nonword,637,31,3,nt184
,,,,,,,,,,,,,,,,,
10384,305,m,n,n,t189,n,p189,l2,ashtray,camern,6,,nonword,772,31,3,nt189
,,,,,,,,,,,,,,,,,
10385,306,m,n,n,t166,n,p166,l2,mark,jeir,4,,nonword,527,31,3,nt166
,,,,,,,,,,,,,,,,,
10386,307,m,r,m,p066,m,t066,l2,cook,lunch,5,5481,word,469,31,3,mp066
,,,,,,,,,,,,,,,,,
10387,308,m,r,m,p082,m,t082,l2,gardener,vegetable,9,2714,word,718,31,3,mp082
,,,,,,,,,,,,,,,,,
10388,309,m,n,n,t100,n,p100,l2,swimsuit,jallen,6,,nonword,960,31,3,nt100
,,,,,,,,,,,,,,,,,
10389,310,m,u,m,p035,m,t034,l2,journalist,blockbuster,11,163,word,598,31,3,mp035
,,,,,,,,,,,,,,,,,
10390,311,m,r,m,p074,m,t074,l2,smoker,habit,5,3839,word,519,31,3,mp074
,,,,,,,,,,,,,,,,,
10391,312,m,n,n,t073,n,p073,l2,carburetor,subsetunt,9,,nonword,1050,31,3,nt073
,,,,,,,,,,,,,,,,,
10392,313,m,n,n,t192,n,p192,l2,cigarette,pasdy,5,,nonword,608,31,3,nt192
,,,,,,,,,,,,,,,,,
10393,314,m,u,u,t057,u,p057,l2,battleground,anxiety,7,3091,word,650,31,3,ut057
,,,,,,,,,,,,,,,,,
10394,315,m,r,m,p055,m,t055,l2,guide,tourist,7,3456,word,526,31,3,mp055
,,,,,,,,,,,,,,,,,
10395,316,m,u,u,t055,u,p055,l2,downtown,relief,6,6605,word,570,31,3,ut055
,,,,,,,,,,,,,,,,,
10396,317,m,n,n,t133,n,p133,l2,fin,bleng,5,,nonword,559,31,3,nt133
,,,,,,,,,,,,,,,,,
10397,318,m,n,n,t139,n,p139,l2,pen,wompt,5,,nonword,637,31,3,nt139
,,,,,,,,,,,,,,,,,
10398,319,m,u,u,t062,u,p062,l2,mall,harm,4,2255,word,752,31,3,ut062
,,,,,,,,,,,,,,,,,
10399,320,m,u,u,t092,u,p092,l2,baby,attitude,8,10619,word,425,31,3,ut092
,,,,,,,,,,,,,,,,,
10400,321,m,u,u,t061,u,p061,l2,clearance,adolescence,11,455,nonword,1462,31,3,ut061
,,,,,,,,,,,,,,,,,
10401,322,m,n,n,t123,n,p123,l2,kettle,nounge,6,,nonword,618,31,3,nt123
,,,,,,,,,,,,,,,,,
10402,323,m,u,u,t100,u,p100,l2,reunion,thought,7,13383,word,426,31,3,ut100
,,,,,,,,,,,,,,,,,
10403,324,m,n,n,t116,n,p116,l2,suitcase,dexi,4,,nonword,680,31,3,nt116
,,,,,,,,,,,,,,,,,
10404,325,m,r,m,p044,m,t044,l2,performer,hair,4,14128,word,666,31,3,mp044
,,,,,,,,,,,,,,,,,
10405,326,m,u,m,p003,m,t002,l2,detective,witness,7,3246,word,483,31,3,mp003
,,,,,,,,,,,,,,,,,
10406,327,m,u,m,p005,m,t004,l2,general,butter,6,2064,word,814,31,3,mp005
,,,,,,,,,,,,,,,,,
10407,328,m,u,m,p032,m,t031,l2,carpenter,frisbee,7,27,nonword,632,31,3,mp032
,,,,,,,,,,,,,,,,,
10408,329,m,n,n,t099,n,p099,l2,hammer,cammern,7,,nonword,656,31,3,nt099
,,,,,,,,,,,,,,,,,
10409,330,m,u,m,p002,m,t001,l2,attorney,dough,5,323,word,692,31,3,mp002
,,,,,,,,,,,,,,,,,
10410,331,m,n,n,t026,n,p026,l2,root,mawonnaise,10,,nonword,853,31,3,nt026
,,,,,,,,,,,,,,,,,
10411,332,m,u,m,p013,m,t012,l2,soldier,pan,3,2130,word,525,31,3,mp013
,,,,,,,,,,,,,,,,,
10412,333,m,n,n,t092,n,p092,l2,tray,feap,4,,nonword,685,31,3,nt092
,,,,,,,,,,,,,,,,,
10413,334,m,n,n,t022,n,p022,l2,mirror,smair,5,,nonword,751,31,3,nt022
,,,,,,,,,,,,,,,,,
10414,335,m,n,n,t059,n,p059,l2,toilet,feny,4,,nonword,1120,31,3,nt059
,,,,,,,,,,,,,,,,,
10415,336,m,u,m,p020,m,t019,l2,fugitive,radio,5,9036,word,445,31,3,mp020
,,,,,,,,,,,,,,,,,
10416,337,m,u,m,p023,m,t022,l2,photographer,truck,5,1738,word,626,31,3,mp023
,,,,,,,,,,,,,,,,,
10417,338,m,u,u,t044,u,p044,l2,leopard,kindness,8,706,word,477,31,3,ut044
,,,,,,,,,,,,,,,,,
10418,339,m,n,n,t115,n,p115,l2,fire,caltus,6,,nonword,784,31,3,nt115
,,,,,,,,,,,,,,,,,
10419,340,m,u,u,t071,u,p071,l2,caribou,dignity,7,1276,word,710,31,3,ut071
,,,,,,,,,,,,,,,,,
10420,341,m,n,n,t164,n,p164,l2,harness,lipperdom,9,,nonword,654,31,3,nt164
,,,,,,,,,,,,,,,,,
10421,342,m,u,u,t098,u,p098,l2,pebble,intelligence,12,3437,word,596,31,3,ut098
,,,,,,,,,,,,,,,,,
10422,343,m,n,n,t142,n,p142,l2,rhubarb,pait,4,,nonword,628,31,3,nt142
,,,,,,,,,,,,,,,,,
10423,344,m,n,n,t141,n,p141,l2,dove,plinge,6,,nonword,785,31,3,nt141
,,,,,,,,,,,,,,,,,
10424,345,m,n,n,t122,n,p122,l2,broadcast,spoble,6,,nonword,630,31,3,nt122
,,,,,,,,,,,,,,,,,
10425,346,m,n,n,t132,n,p132,l2,bathtub,bintert,7,,nonword,758,31,3,nt132
,,,,,,,,,,,,,,,,,
10426,347,m,u,u,t049,u,p049,l2,storage,menu,4,1999,word,448,31,3,ut049
,,,,,,,,,,,,,,,,,
10427,348,m,n,n,t190,n,p190,l2,bridge,ornalence,9,,nonword,889,31,3,nt190
,,,,,,,,,,,,,,,,,
10428,349,m,n,n,t101,n,p101,l2,cave,glite,5,,nonword,1094,31,3,nt101
,,,,,,,,,,,,,,,,,
10429,350,m,n,n,t104,n,p104,l2,laboratory,kutten,6,,nonword,712,31,3,nt104
,,,,,,,,,,,,,,,,,
10430,351,m,u,u,t080,u,p080,l2,anniversary,research,8,25538,word,602,31,3,ut080
,,,,,,,,,,,,,,,,,
10431,352,m,n,n,t025,n,p025,l2,dish,kess,4,,nonword,614,31,3,nt025
,,,,,,,,,,,,,,,,,
10432,353,m,n,n,t062,n,p062,l2,moth,larb,4,,nonword,717,31,3,nt062
,,,,,,,,,,,,,,,,,
10433,354,s,n,n,t211,n,p211,l2,cabin,nid,3,,nonword,540,31,3,nt211
,,,,,,,,,,,,,,,,,
10434,355,s,u,s,t5,s,p15,l2,closet,pineapple,9,326,word,527,31,3,st5
,,,,,,,,,,,,,,,,,
10435,356,s,u,u,t114,u,p114,l2,intersection,year,4,161901,word,707,31,3,ut114
,,,,,,,,,,,,,,,,,
10436,357,s,u,u,t104,u,p104,l2,turntable,logic,5,2269,word,680,31,3,ut104
,,,,,,,,,,,,,,,,,
10437,358,s,n,n,t226,n,p226,l2,brick,tovest,6,,nonword,696,31,3,nt226
,,,,,,,,,,,,,,,,,
10438,359,s,n,n,t201,n,p201,l2,toad,staddant,8,,nonword,524,31,3,nt201
,,,,,,,,,,,,,,,,,
10439,360,s,n,n,t204,n,p204,l2,visitor,plobe,5,,nonword,699,31,3,nt204
,,,,,,,,,,,,,,,,,
10440,361,s,r,s,t17,s,p17,l2,slingshot,catapult,8,188,word,986,31,3,st17
,,,,,,,,,,,,,,,,,
10441,362,s,n,n,t257,n,p257,l2,fat,duffalo,7,,nonword,672,31,3,nt257
,,,,,,,,,,,,,,,,,
10442,363,s,n,n,t218,n,p218,l2,tent,jum,3,,nonword,733,31,3,nt218
,,,,,,,,,,,,,,,,,
10443,364,s,u,u,t128,u,p128,l2,factory,bread,5,3676,word,465,31,3,ut128
,,,,,,,,,,,,,,,,,
10444,365,s,n,n,t227,n,p227,l2,haircut,zale,4,,nonword,466,31,3,nt227
,,,,,,,,,,,,,,,,,
10445,366,s,r,s,t26,s,p26,l2,slippers,sandals,7,306,word,537,31,3,st26
,,,,,,,,,,,,,,,,,
10446,367,s,n,n,t258,n,p258,l2,rock,cailb,5,,nonword,543,31,3,nt258
,,,,,,,,,,,,,,,,,
10447,368,s,u,s,t15,s,p5,l2,coconut,dresser,7,318,word,494,31,3,st15
,,,,,,,,,,,,,,,,,
10448,369,s,u,u,t112,u,p112,l2,doctor,cruelty,7,789,word,821,31,3,ut112
,,,,,,,,,,,,,,,,,
10449,370,s,r,s,t32,s,p32,l2,wagon,cart,4,1137,word,604,31,3,st32
,,,,,,,,,,,,,,,,,
10450,371,s,r,s,t20,s,p20,l2,motorcycle,scooter,7,107,word,679,31,3,st20
,,,,,,,,,,,,,,,,,
10451,372,s,n,n,t239,n,p239,l2,cord,choll,5,,nonword,572,31,3,nt239
,,,,,,,,,,,,,,,,,
10452,373,s,r,s,t21,s,p21,l2,duck,chicken,7,2450,word,540,31,3,st21
,,,,,,,,,,,,,,,,,
10453,374,s,u,u,t115,u,p115,l2,backpack,time,4,182267,word,852,31,3,ut115
,,,,,,,,,,,,,,,,,
10454,375,s,u,u,t113,u,p113,l2,knife,influence,9,9275,word,568,31,3,ut113
,,,,,,,,,,,,,,,,,
10455,376,s,n,n,t221,n,p221,l2,stapler,stronth,7,,nonword,721,31,3,nt221
,,,,,,,,,,,,,,,,,
10456,377,s,n,n,t243,n,p243,l2,tour,snurrent,8,,nonword,623,31,3,nt243
,,,,,,,,,,,,,,,,,
10457,378,s,u,u,t129,u,p129,l2,chief,piety,5,246,word,989,31,3,ut129
,,,,,,,,,,,,,,,,,
10458,379,s,n,n,t203,n,p203,l2,planter,kindin,6,,nonword,663,31,3,nt203
,,,,,,,,,,,,,,,,,
10459,380,s,n,n,t253,n,p253,l2,garden,gwedink,7,,nonword,598,31,3,nt253
,,,,,,,,,,,,,,,,,
10460,381,s,r,s,t31,s,p31,l2,cannon,bazooka,7,23,word,777,31,3,st31
,,,,,,,,,,,,,,,,,
10461,382,s,n,n,t232,n,p232,l2,pole,gick,4,,nonword,775,31,3,nt232
,,,,,,,,,,,,,,,,,
10462,383,s,n,n,t233,n,p233,l2,pearl,boarse,6,,nonword,896,31,3,nt233
,,,,,,,,,,,,,,,,,
10463,384,s,n,n,t240,n,p240,l2,squid,drade,5,,nonword,652,31,3,nt240
,,,,,,,,,,,,,,,,,
10464,385,s,u,u,t117,u,p117,l2,restaurant,tractor,7,709,word,733,31,3,ut117
,,,,,,,,,,,,,,,,,
10465,386,s,n,n,t247,n,p247,l2,afternoon,pagging,7,,nonword,1043,31,3,nt247
,,,,,,,,,,,,,,,,,
10466,387,s,n,n,t208,n,p208,l2,garage,dafe,4,,nonword,741,31,3,nt208
,,,,,,,,,,,,,,,,,
10467,388,s,r,s,t29,s,p29,l2,yacht,ship,4,6772,word,530,31,3,st29
,,,,,,,,,,,,,,,,,
10468,389,s,n,n,t219,n,p219,l2,route,hef,3,,nonword,704,31,3,nt219
,,,,,,,,,,,,,,,,,
10469,390,s,n,n,t234,n,p234,l2,refinery,stience,7,,word,698,31,3,nt234
,,,,,,,,,,,,,,,,,
10470,391,s,u,u,t111,u,p111,l2,telescope,emerald,7,175,word,569,31,3,ut111
,,,,,,,,,,,,,,,,,
10471,392,s,n,n,t231,n,p231,l2,bison,jelay,5,,nonword,485,31,3,nt231
,,,,,,,,,,,,,,,,,
10472,393,s,n,n,t207,n,p207,l2,booth,fruse,5,,nonword,652,31,3,nt207
,,,,,,,,,,,,,,,,,
10473,394,s,u,u,t106,u,p106,l2,princess,bypass,6,587,word,834,31,3,ut106
,,,,,,,,,,,,,,,,,
10474,395,s,u,u,t110,u,p110,l2,unrest,reflection,10,2430,word,628,31,3,ut110
,,,,,,,,,,,,,,,,,
10475,396,s,u,u,t121,u,p121,l2,hunter,baggage,7,460,word,521,31,3,ut121
,,,,,,,,,,,,,,,,,
10476,397,s,u,u,t134,u,p134,l2,chauffeur,sand,4,3356,word,484,31,3,ut134
,,,,,,,,,,,,,,,,,
10477,398,s,n,n,t215,n,p215,l2,apron,esduary,7,,nonword,745,31,3,nt215
,,,,,,,,,,,,,,,,,
10478,399,s,n,n,t216,n,p216,l2,tricycle,phammeze,8,,nonword,670,31,3,nt216
,,,,,,,,,,,,,,,,,
10479,400,s,u,u,t127,u,p127,l2,kitten,freedom,7,6292,word,458,31,3,ut127
,,,,,,,,,,,,,,,,,
10480,401,s,u,u,t119,u,p119,l2,boot,orphan,6,384,word,483,31,3,ut119
,,,,,,,,,,,,,,,,,
10481,402,s,u,u,t133,u,p133,l2,nightmare,direction,9,10662,word,714,31,3,ut133
,,,,,,,,,,,,,,,,,
10482,403,s,n,n,t217,n,p217,l2,tulip,pregator,8,,nonword,937,31,3,nt217
,,,,,,,,,,,,,,,,,
10483,404,s,n,n,t199,n,p199,l2,field,halbe,5,,nonword,567,31,3,nt199
,,,,,,,,,,,,,,,,,
10484,405,s,u,s,t1,s,p3,l2,finch,jar,3,1003,word,521,31,3,st1
,,,,,,,,,,,,,,,,,
10485,406,s,u,s,t12,s,p8,l2,tie,bomb,4,3795,word,550,31,3,st12
,,,,,,,,,,,,,,,,,
10486,407,s,r,s,t30,s,p30,l2,cushion,pillow,6,1033,nonword,1951,31,3,st30
,,,,,,,,,,,,,,,,,
10487,408,s,n,n,t200,n,p200,l2,sandbox,farde,5,,nonword,563,31,3,nt200
,,,,,,,,,,,,,,,,,
10488,409,s,u,u,t109,u,p109,l2,trench,zipper,6,68,word,460,31,3,ut109
,,,,,,,,,,,,,,,,,
10489,410,s,u,u,t131,u,p131,l2,clock,hatred,6,1034,word,769,31,3,ut131
,,,,,,,,,,,,,,,,,
10490,411,s,n,n,t248,n,p248,l2,rocket,drinemony,9,,nonword,793,31,3,nt248
,,,,,,,,,,,,,,,,,
10491,412,s,n,n,t242,n,p242,l2,bracelet,jepair,6,,nonword,558,31,3,nt242
,,,,,,,,,,,,,,,,,
10492,413,s,n,n,t236,n,p236,l2,chain,moblin,6,,nonword,659,31,3,nt236
,,,,,,,,,,,,,,,,,
10493,414,s,n,n,t206,n,p206,l2,candy,plick,5,,nonword,567,31,3,nt206
,,,,,,,,,,,,,,,,,
10494,415,s,u,s,t2,s,p16,l2,lamp,dolphin,7,1602,word,547,31,3,st2
,,,,,,,,,,,,,,,,,
10495,416,s,n,n,t198,n,p198,l2,maze,sortune,7,,nonword,593,31,3,nt198
,,,,,,,,,,,,,,,,,
10496,417,s,u,u,t124,u,p124,l2,turtle,envy,4,489,word,525,31,3,ut124
,,,,,,,,,,,,,,,,,
10497,418,s,n,n,t241,n,p241,l2,skunk,baint,5,,nonword,1078,31,3,nt241
,,,,,,,,,,,,,,,,,
10498,419,s,n,n,t238,n,p238,l2,balloon,yoops,5,,nonword,910,31,3,nt238
,,,,,,,,,,,,,,,,,
10499,420,s,u,s,t3,s,p1,l2,bottle,canary,6,287,word,738,31,3,st3
,,,,,,,,,,,,,,,,,
10500,421,s,u,s,t11,s,p10,l2,canoe,spear,5,519,word,604,31,3,st11
,,,,,,,,,,,,,,,,,
10501,422,s,u,u,t116,u,p116,l2,plan,bounty,6,203,word,632,31,3,ut116
,,,,,,,,,,,,,,,,,
10502,423,s,n,n,t205,n,p205,l2,indifference,appistence,10,,nonword,789,31,3,nt205
,,,,,,,,,,,,,,,,,
10503,424,s,r,s,t19,s,p19,l2,axe,tomahawk,8,36,nonword,932,31,3,st19
,,,,,,,,,,,,,,,,,
10504,425,s,u,s,t16,s,p4,l2,peas,chandelier,10,200,word,1089,31,3,st16
,,,,,,,,,,,,,,,,,
10505,426,s,n,n,t229,n,p229,l2,shield,polait,6,,nonword,1129,31,3,nt229
,,,,,,,,,,,,,,,,,
10506,427,s,u,u,t120,u,p120,l2,keyhole,gangster,8,236,word,1175,31,3,ut120
,,,,,,,,,,,,,,,,,
10507,428,s,r,s,t28,s,p28,l2,mat,carpet,6,3186,word,1053,31,3,st28
,,,,,,,,,,,,,,,,,
10508,429,s,n,n,t246,n,p246,l2,brain,olicy,5,,nonword,624,31,3,nt246
,,,,,,,,,,,,,,,,,
10509,430,s,n,n,t252,n,p252,l2,oak,chanke,6,,nonword,734,31,3,nt252
